==27356== NVPROF is profiling process 27356, command: ./build_bs_256/external_forces
==27356== Warning: Unified Memory Profiling is not supported on devices of compute capability less than 3.0
==27356== Profiling application: ./build_bs_256/external_forces
==27356== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
328.926148,23.951000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [411]"
328.951509,22.921000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [419]"
328.975853,22.933000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [427]"
329.000217,24.941000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [435]"
329.026579,23.847000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [443]"
329.051846,22.907000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [451]"
329.076176,24.185000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [459]"
329.101781,24.373000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [467]"
329.127574,22.284000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [475]"
329.151280,24.231000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [483]"
329.176916,22.590000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [491]"
329.200928,23.993000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [499]"
329.226331,23.103000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [507]"
329.250842,24.032000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [515]"
329.276294,22.779000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [523]"
329.300495,22.032000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [531]"
329.323950,23.660000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [539]"
329.349036,23.562000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [547]"
329.374007,23.604000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [555]"
329.399023,22.470000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [563]"
329.422913,22.967000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [571]"
329.447288,23.023000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [579]"
329.471736,23.262000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [587]"
329.496418,23.732000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [595]"
329.521556,22.528000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [603]"
329.545488,22.131000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [611]"
329.569041,24.167000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [619]"
329.594629,23.991000,124,1,1,256,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [627]"
