==27144== NVPROF is profiling process 27144, command: ./build_bs_128/external_forces
==27144== Warning: Unified Memory Profiling is not supported on devices of compute capability less than 3.0
==27144== Profiling application: ./build_bs_128/external_forces
==27144== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
360.689851,58.080000,,,,,,,,,,246.875000,4.053691,"Tesla M2050 (0)","1","7","[CUDA memcpy HtoD]"
360.843227,57.759000,,,,,,,,,,246.875000,4.076219,"Tesla M2050 (0)","1","7","[CUDA memcpy HtoD]"
360.982252,28.256000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [115]"
361.011939,22.362000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [123]"
361.035732,22.714000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [131]"
361.059874,22.611000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [139]"
361.083928,22.571000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [147]"
361.107944,23.221000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [155]"
361.132608,22.904000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [163]"
361.156948,22.693000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [171]"
361.181086,22.608000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [179]"
361.205137,22.446000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [187]"
361.229017,22.486000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [195]"
361.252939,22.613000,247,1,1,128,1,1,17,0,0,,,"Tesla M2050 (0)","1","7","integrate(float2*, float2*, int, float, float, ForceParams) [203]"
