"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830625870,4432354830804734,4432354830814654,4432354830831574,9920
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830801023,4432354830814654,4432354830820094,4432354830940366,5440
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830808654,4432354830820094,4432354830825534,4432354830932956,5440
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830814844,4432354830825534,4432354830830814,4432354830948396,5280
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830820444,4432354830830814,4432354830836254,4432354830961056,5440
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830825794,4432354830836254,4432354830841374,4432354830971797,5120
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830832094,4432354830938814,4432354830944094,4432354830966537,5280
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830933996,4432354830956894,4432354830962174,4432354830977567,5280
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830954506,4432354830993534,4432354830998974,4432354830999727,5440
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830989077,4432354830998974,4432354831004414,4432354831023478,5440
10,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,13,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354830994627,4432354831004414,4432354831009534,4432354831017987,5120
11,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,14,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354831000007,4432354831045054,4432354831050814,4432354831052138,5760
12,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,15,529805,529805,31616,128,0,0,16,0,32,64,"0x0","0x14e8c02a0980",4432354831040938,4432354831050814,4432354831056254,4432354831059188,5440
