"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786152063,4432357786335087,4432357786345807,4432357786361397,10720
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786331377,4432357786345807,4432357786351087,4432357786467339,5280
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786339987,4432357786351087,4432357786356367,4432357786459069,5280
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786346647,4432357786356367,4432357786361487,4432357786474769,5120
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786351817,4432357786361487,4432357786366767,4432357786481799,5280
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786356047,4432357786366767,4432357786371887,4432357786500560,5120
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786361777,4432357786464207,4432357786469167,4432357786495180,4960
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786459079,4432357786481167,4432357786486447,4432357786506800,5280
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786478779,4432357786490287,4432357786495407,4432357786512300,5120
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786486929,4432357786529327,4432357786534927,4432357786536930,5600
10,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,13,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786525320,4432357786534927,4432357786540207,4432357786543650,5280
11,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,14,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786531570,4432357786540207,4432357786545327,4432357786555741,5120
12,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,15,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786536190,4432357786573167,4432357786578607,4432357786580601,5440
13,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,16,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786569011,4432357786578607,4432357786583887,4432357786586791,5280
14,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,17,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786576421,4432357786583887,4432357786589007,4432357786593281,5120
15,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,18,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786581291,4432357786609807,4432357786615408,4432357786618802,5601
16,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,19,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786605571,4432357786615408,4432357786620688,4432357786626282,5280
17,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,20,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786610451,4432357786620688,4432357786625968,4432357786632612,5280
18,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,21,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786615922,4432357786625968,4432357786630928,4432357786637622,4960
19,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,22,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786620282,4432357786654768,4432357786660208,4432357786661843,5440
20,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,23,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786650162,4432357786660208,4432357786665488,4432357786668143,5280
21,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,24,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786655382,4432357786665488,4432357786670288,4432357786676883,4800
22,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,25,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786662112,4432357786692688,4432357786697968,4432357786699773,5280
23,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,26,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786689293,4432357786697968,4432357786703248,4432357786706473,5280
24,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,27,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786694323,4432357786703248,4432357786708368,4432357786712373,5120
25,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,28,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786699383,4432357786729648,4432357786735088,4432357786736444,5440
26,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,29,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786725554,4432357786735088,4432357786740368,4432357786742684,5280
27,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,30,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786730864,4432357786740368,4432357786745328,4432357786748594,4960
28,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,31,530003,530003,31744,256,0,0,16,0,32,64,"0x0","0x150be30b0980",4432357786735314,4432357786765648,4432357786771088,4432357786772834,5440
