"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626388326,4432355626569790,4432355626580350,4432355626595259,10560
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626565739,4432355626580350,4432355626585630,4432355626702301,5280
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626574719,4432355626585630,4432355626591070,4432355626694851,5440
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626581049,4432355626591070,4432355626596510,4432355626709941,5440
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626586399,4432355626596510,4432355626601950,4432355626724002,5440
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626590559,4432355626601950,4432355626606910,4432355626734722,4960
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626596490,4432355626699870,4432355626705150,4432355626729552,5280
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626694611,4432355626718430,4432355626723550,4432355626740882,5120
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626715982,4432355626757310,4432355626762910,4432355626765202,5600
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,529875,529875,31616,128,0,0,16,0,32,64,"0x0","0x1493d03f8980",4432355626753072,4432355626762910,4432355626768350,4432355626771713,5440
