backend,block_size,run_idx,N,steps,time_ms,mpups
rocm,128,1,31600,500,6.065,2604.914
rocm,128,2,31600,500,6.247,2529.252
rocm,128,3,31600,500,5.895,2680.134
rocm,256,1,31600,500,6.201,2547.917
rocm,256,2,31600,500,6.032,2619.214
rocm,256,3,31600,500,6.195,2550.548
