"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575700045,4432358575876849,4432358575887249,4432358575900829,10400
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575873479,4432358575887249,4432358575892529,4432358576018741,5280
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575881949,4432358575892529,4432358575897809,4432358575999181,5280
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575887709,4432358575897809,4432358575903089,4432358576026551,5280
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575892939,4432358575903089,4432358575908369,4432358576033212,5280
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575897779,4432358575908369,4432358575913169,4432358576044602,4800
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575904079,4432358576004209,4432358576009489,4432358576039232,5280
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358575999331,4432358576036209,4432358576041329,4432358576050522,5120
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576031531,4432358576067089,4432358576072689,4432358576074582,5600
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576063392,4432358576072689,4432358576077969,4432358576080992,5280
10,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,13,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576069292,4432358576077969,4432358576082929,4432358576086683,4960
11,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,14,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576073732,4432358576108369,4432358576113809,4432358576115573,5440
12,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,15,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576104553,4432358576113809,4432358576118929,4432358576122503,5120
13,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,16,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576109833,4432358576118929,4432358576124049,4432358576128553,5120
14,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,17,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576115863,4432358576145010,4432358576150450,4432358576151544,5440
15,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,18,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576140953,4432358576150450,4432358576155730,4432358576158004,5280
16,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,19,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576145914,4432358576155730,4432358576160690,4432358576164134,4960
17,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,20,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576150854,4432358576173170,4432358576178290,4432358576180634,5120
18,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,21,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576171674,4432358576185650,4432358576190770,4432358576193054,5120
19,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,22,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576183384,4432358576194610,4432358576199890,4432358576201645,5280
20,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,23,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576191954,4432358576206770,4432358576213330,4432358576214535,6560
21,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,24,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576204445,4432358576213330,4432358576219410,4432358576223255,6080
22,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,25,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576212135,4432358576219410,4432358576224530,4432358576229615,5120
23,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,26,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576217105,4432358576237490,4432358576242770,4432358576244026,5280
24,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,27,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576235905,4432358576250130,4432358576255250,4432358576256666,5120
25,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,28,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576251676,4432358576259730,4432358576264850,4432358576267356,5120
26,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,29,530073,530073,31744,256,0,0,16,0,32,64,"0x0","0x14a2228c0980",4432358576257596,4432358576268850,4432358576274290,4432358576279026,5440
