"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,3,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042581805,4432354042760299,4432354042770219,4432354042786029,9920
1,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,4,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042756578,4432354042770219,4432354042775499,4432354042892061,5280
2,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,5,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042763988,4432354042775499,4432354042781099,4432354042884321,5600
3,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,6,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042769499,4432354042781099,4432354042786219,4432354042899511,5120
4,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,7,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042775229,4432354042786219,4432354042791659,4432354042906611,5440
5,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,8,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042780809,4432354042791659,4432354042796779,4432354042917361,5120
6,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,9,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042786319,4432354042889419,4432354042894699,4432354042912041,5280
7,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,10,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042884991,4432354042905259,4432354042910539,4432354042923491,5280
8,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,11,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042903921,4432354042934699,4432354042939979,4432354042941262,5280
9,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,12,529730,529730,31616,128,0,0,16,0,32,64,"0x0","0x14d591bc8980",4432354042930131,4432354042943819,4432354042949099,4432354042950872,5280
