"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
22,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,25,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379432556,4432359379463221,4432359379468661,4432359379470057,5440
23,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,26,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379459417,4432359379468661,4432359379473941,4432359379476557,5280
24,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,27,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379464286,4432359379473941,4432359379478901,4432359379482327,4960
25,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,28,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379469737,4432359379495861,4432359379501621,4432359379503267,5760
26,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,29,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379493927,4432359379501621,4432359379507061,4432359379510038,5440
27,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,30,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379499147,4432359379507061,4432359379512021,4432359379516407,4960
28,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,31,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379504077,4432359379533461,4432359379538901,4432359379539898,5440
29,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,32,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379529158,4432359379538901,4432359379544181,4432359379546418,5280
30,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,33,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379535698,4432359379544181,4432359379548981,4432359379552198,4800
31,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,34,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379541218,4432359379570742,4432359379576182,4432359379578019,5440
32,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,35,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379566459,4432359379576182,4432359379581462,4432359379584119,5280
33,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,36,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379571168,4432359379581462,4432359379586582,4432359379590189,5120
34,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,37,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379576959,4432359379607062,4432359379612502,4432359379614089,5440
35,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,38,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379602019,4432359379612502,4432359379617942,4432359379632240,5440
36,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,39,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379606539,4432359379617942,4432359379623222,4432359379627029,5280
37,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,40,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379611799,4432359379623222,4432359379628342,4432359379638340,5120
38,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,41,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379620200,4432359379655702,4432359379661142,4432359379664210,5440
39,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,42,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379652150,4432359379661142,4432359379666422,4432359379669820,5280
40,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,43,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379657440,4432359379666422,4432359379671862,4432359379676910,5440
41,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,44,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379662180,4432359379671862,4432359379676822,4432359379685491,4960
42,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,45,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379666910,4432359379676822,4432359379682262,4432359379690531,5440
43,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,46,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379673130,4432359379682262,4432359379687382,4432359379696541,5120
44,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,47,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379680110,4432359379708182,4432359379713142,4432359379714601,4960
45,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,48,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379703291,4432359379717142,4432359379722262,4432359379726421,5120
46,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,49,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379720721,4432359379738902,4432359379743862,4432359379745532,4960
47,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,50,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379737871,4432359379747862,4432359379753302,4432359379755542,5440
48,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,51,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379743202,4432359379753302,4432359379758582,4432359379761842,5280
49,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,52,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379748162,4432359379758582,4432359379763702,4432359379767622,5120
50,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,53,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379754582,4432359379784663,4432359379790103,4432359379792063,5440
51,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,54,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379780322,4432359379790103,4432359379795383,4432359379807023,5280
52,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,55,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379787172,4432359379795383,4432359379800503,4432359379801673,5120
53,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,56,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379792292,4432359379823703,4432359379829463,4432359379830453,5760
54,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,57,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379821593,4432359379829463,4432359379834743,4432359379837063,5280
55,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,58,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379826633,4432359379834743,4432359379839703,4432359379842973,4960
56,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,59,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379831803,4432359379860183,4432359379865623,4432359379866664,5440
57,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,60,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379854884,4432359379865623,4432359379870743,4432359379873324,5120
58,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,61,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379860284,4432359379870743,4432359379875703,4432359379879214,4960
59,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,62,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379864974,4432359379896823,4432359379902263,4432359379904085,5440
60,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,63,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379891834,4432359379902263,4432359379907543,4432359379910245,5280
61,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,64,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379896985,4432359379907543,4432359379912663,4432359379919555,5120
62,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,65,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379904025,4432359379936183,4432359379941463,4432359379942525,5280
63,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,66,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379931005,4432359379941463,4432359379946583,4432359379948426,5120
64,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,67,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379936295,4432359379946583,4432359379951703,4432359379954255,5120
65,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,68,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379941335,4432359379968343,4432359379973783,4432359379975966,5440
66,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,69,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379966066,4432359379973783,4432359379979863,4432359379982496,6080
67,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,70,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379972196,4432359379979863,4432359379984823,4432359379988326,4960
68,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,71,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379977146,4432359380005464,4432359380010584,4432359380012547,5120
69,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,72,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359379999856,4432359380014584,4432359380019704,4432359380020787,5120
70,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,73,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380011396,4432359380028504,4432359380033624,4432359380035747,5120
71,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,74,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380027467,4432359380040984,4432359380046264,4432359380048777,5280
72,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,75,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380038937,4432359380050264,4432359380055544,4432359380056937,5280
73,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,76,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380045787,4432359380055544,4432359380060664,4432359380063077,5120
74,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,77,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380051277,4432359380060664,4432359380065784,4432359380069408,5120
75,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,78,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380057577,4432359380086264,4432359380091864,4432359380093268,5600
76,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,79,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380082048,4432359380091864,4432359380097304,4432359380099548,5440
77,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,80,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380088118,4432359380097304,4432359380102264,4432359380105348,4960
78,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,81,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380094058,4432359380122744,4432359380128184,4432359380129019,5440
79,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,82,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380116998,4432359380128184,4432359380133464,4432359380135039,5280
80,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,83,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380122009,4432359380133464,4432359380138424,4432359380141109,4960
81,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,84,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380127999,4432359380159384,4432359380164824,4432359380167149,5440
82,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,85,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380154759,4432359380164824,4432359380170264,4432359380172690,5440
83,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,86,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380159799,4432359380170264,4432359380175384,4432359380186460,5120
84,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,87,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380164939,4432359380175384,4432359380180664,4432359380199520,5280
85,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,88,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380169450,4432359380180664,4432359380185784,4432359380204770,5120
86,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,89,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380180180,4432359380194424,4432359380200184,4432359380210420,5760
87,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,90,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380191930,4432359380227705,4432359380233145,4432359380234161,5440
88,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,91,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380224631,4432359380233145,4432359380238265,4432359380240741,5120
89,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,92,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380230091,4432359380238265,4432359380243225,4432359380246411,4960
90,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,93,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380234781,4432359380263865,4432359380269305,4432359380270591,5440
91,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,94,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380258201,4432359380269305,4432359380274585,4432359380278932,5280
92,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,95,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380263921,4432359380274585,4432359380279705,4432359380284992,5120
93,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,96,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380269331,4432359380293785,4432359380298905,4432359380300572,5120
94,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,97,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380293462,4432359380303065,4432359380308185,4432359380309992,5120
95,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,98,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380301592,4432359380312025,4432359380317305,4432359380319092,5280
96,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,99,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380308452,4432359380323385,4432359380330105,4432359380331192,6720
97,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,100,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380320972,4432359380330105,4432359380335225,4432359380337013,5120
98,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,101,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380327362,4432359380335225,4432359380340185,4432359380342513,4960
99,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,102,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380332272,4432359380356345,4432359380362105,4432359380363413,5760
100,"integrate(HIP_vector_type<float, 2u>*, HIP_vector_type<float, 2u>*, int, float, float, ForceParams) [clone .kd]",2,0,103,530144,530144,31744,256,0,0,16,0,32,64,"0x0","0x14d5dd218980",4432359380354223,4432359380362105,4432359380367385,4432359380385973,5280
