backend,block_size,run_idx,N,steps,time_ms,mpups
cuda,128,1,31600,500,129717.8,0.12
cuda,128,2,31600,500,145424.2,0.11
cuda,128,3,31600,500,148394.7,0.11
cuda,256,1,31600,500,141202.1,0.11
cuda,256,2,31600,500,140570.3,0.11
cuda,256,3,31600,500,137561.3,0.11
