timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/10/19 11:26:11.265, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:11.266, 1, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:11.268, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:11.269, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:11.271, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:11.273, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:11.274, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:11.276, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.277, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:12.278, 1, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:12.279, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.279, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.280, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.281, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.282, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:12.283, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.284, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:13.284, 1, Tesla M2050, 100 %, 7 %, 267 MiB
2025/10/19 11:26:13.284, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.285, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.285, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.286, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.286, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:13.286, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.287, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:14.287, 1, Tesla M2050, 100 %, 11 %, 267 MiB
2025/10/19 11:26:14.288, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.288, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.288, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.289, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.289, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:14.289, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.290, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:15.290, 1, Tesla M2050, 100 %, 11 %, 267 MiB
2025/10/19 11:26:15.291, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.291, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.291, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.292, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.292, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:15.292, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:16.293, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:26:16.293, 1, Tesla M2050, 100 %, 11 %, 267 MiB
2025/10/19 11:26:16.294, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:16.294, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:16.294, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:26:16.295, 5, Tesla M2050, 0 %, 0 %, 216 MiB
