timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/10/19 11:19:05.526, 1, Tesla M2050, 100 %, 10 %, 267 MiB
2025/10/19 11:19:05.527, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:05.527, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:05.528, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:05.528, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:05.528, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:05.529, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.529, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:06.530, 1, Tesla M2050, 100 %, 10 %, 267 MiB
2025/10/19 11:19:06.530, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.531, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.531, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.532, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.532, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:06.533, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.533, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:07.534, 1, Tesla M2050, 100 %, 10 %, 267 MiB
2025/10/19 11:19:07.534, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.535, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.535, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.536, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.536, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:07.536, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.537, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:08.538, 1, Tesla M2050, 100 %, 9 %, 267 MiB
2025/10/19 11:19:08.538, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.538, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.539, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.539, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.540, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:08.540, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.541, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:09.541, 1, Tesla M2050, 100 %, 9 %, 267 MiB
2025/10/19 11:19:09.542, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.542, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.543, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.543, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.543, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:09.544, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.545, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:10.545, 1, Tesla M2050, 100 %, 9 %, 267 MiB
2025/10/19 11:19:10.546, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.546, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.547, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.547, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.548, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:10.548, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.549, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:11.549, 1, Tesla M2050, 100 %, 9 %, 267 MiB
2025/10/19 11:19:11.550, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.550, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.550, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.551, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.551, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:11.552, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.552, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:12.553, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:12.553, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.554, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.554, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.555, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.555, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:12.556, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.556, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:13.557, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:13.557, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.558, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.558, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.558, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.559, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:13.559, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.560, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:14.560, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:14.561, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.561, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.562, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.562, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.563, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:14.563, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.564, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:15.564, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:15.565, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.565, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.566, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.566, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.566, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:15.567, 7, Tesla M2050, 0 %, 0 %, 216 MiB
