"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",10,243436793,24343679,99.79184206767158
"hipLaunchKernel",3,415438,138479,0.1703001537853374
"hipMalloc",8,47331,5916,0.019402357460833634
"hipFree",8,26921,3365,0.011035703137544152
"hipDeviceSynchronize",1,16100,16100,0.0065998596082783275
"__hipPushCallConfiguration",3,1020,340,0.0004181277515803661
"__hipPopCallConfiguration",3,640,213,0.0002623546676582689
"hipGetLastError",1,340,340,0.00013937591719345537
